Start,End,Location,Session Topic,Event Title,Order,Session Description,People,Event Format,Event Description,Session Format,Session Chair
10/20 12:45,10/20 13:15,San Jose Ballroom Salon 3 & 4,Working Group Fair (Presentations during lunch + guaranteed Poster),,,,,,,,
10/20 13:30,10/20 15:00,San Jose Ballroom Salon 3 & 4,Afternoon Tech Session (Workshops / BoFs),,,,,,,Workshops / BoFs,
10/20 13:30,10/20 15:00,San Jose Ballroom Salon 1 & 2,Afternoon Tech Session (Workshops / BoFs),,,,,,,Workshops / BoFs,
10/20 13:30,10/20 15:00,San Jose Ballroom Salon 5 & 6,Afternoon Tech Session (Workshops / BoFs),,,,,,,Workshops / BoFs,
10/20 13:30,10/20 15:00,Willow Glen Room,Afternoon Tech Session (Workshops / BoFs),,,,,,,Workshops / BoFs,
10/20 15:00,10/20 15:30,Anywhere,Afternoon Break,,,,,,,Break,
10/20 15:30,10/20 17:00,San Jose Ballroom Salon 1 & 2,Case Studies Demonstrating RSE Impacts Part II,,,,,,,Talks,
10/20 15:30,10/20 17:00,San Jose Ballroom Salon 5 & 6,Code Modernization Using AI,,,,,,,Talks,
10/20 15:30,10/20 17:00,Willow Glen Room,Workflows,,,,,,,Talks,
10/20 15:30,10/20 17:00,Market Street,Decision Makers Panel,,,,,,,Panel,
10/20 17:00,10/20 17:30,Anywhere,Free time,,,,,,,Break,
10/20 17:30,10/20 18:00,Anywhere,Transit to Dinner / Break,,,,,,,Break,
10/20 18:00,10/20 21:00,Anywhere,Conference Dinner,,,,,,,Meal,
10/21 07:30,10/21 08:30,Prefunction,Registration,,,,,,,Registration,
10/21 08:30,10/21 10:00,San Jose Ballroom Salon 3 & 4,"Plenary III, Sponsor Talks",,,"Announcements, **US-RSE Updates**, [US-RSE Awards](https://example.org/awards), BSSw Fellowship Awards",,,,Plenary,
10/21 10:00,10/21 10:30,Anywhere,Morning Break,,,,,,,Break,
10/21 10:30,10/21 12:00,San Jose Ballroom Salon 1 & 2,Collaboration & Community Building,,,,,,,Talks,
10/21 10:30,10/21 12:00,San Jose Ballroom Salon 5 & 6,Software Quality,,,,,,,Talks,
10/21 10:30,10/21 12:00,Willow Glen Room,Generative AI + Applications,,,,,,,Talks,
10/21 12:00,10/21 13:30,Anywhere,Lunch Break,,,,,,,Meal,
10/21 13:30,10/21 15:00,San Jose Ballroom Salon 1 & 2,RSE Practices in the Age of AI Part II,,,,,,,Talks,
10/21 13:30,10/21 15:00,San Jose Ballroom Salon 5 & 6,Reflections on RSE Roles & Pathways,,,,,,,Talks,
10/21 13:30,10/21 15:00,Willow Glen Room,Building Infrastructure for Communities or Organizations,,,,,,,Talks,
10/21 15:00,10/21 15:30,Anywhere,Transition Break,,,,,,,Break,
10/21 15:15,10/21 16:30,San Jose Ballroom Salon 3 & 4,"Random Access Microtalks (RAM), Closing",,,,,,,Talks,
10/21 15:15,10/21 16:30,San Jose Ballroom Salon 3 & 4,"Random Access Microtalks (RAM), Closing",Sixty Seconds of Science,1,,Alex Kim,Random Access Microtalk,"One minute, one slide, one result.",,
10/21 15:15,10/21 16:30,San Jose Ballroom Salon 3 & 4,"Random Access Microtalks (RAM), Closing",Lightning intro,2,,,Microtalk,,,
